relative_sec,framework,test_type,http_200,vusers_failed,vusers_created,vusers_completed,request_rate,success_percent,error_percent
80,express,soak,300,0,100,100,30,100.0,0.0
90,express,soak,300,0,100,100,30,100.0,0.0
100,express,soak,300,0,100,100,30,100.0,0.0
110,express,soak,300,0,100,100,30,100.0,0.0
120,express,soak,300,0,100,100,30,100.0,0.0
130,express,soak,300,0,100,100,30,100.0,0.0
140,express,soak,300,0,100,100,30,100.0,0.0
150,express,soak,300,0,100,100,30,100.0,0.0
160,express,soak,300,0,100,100,30,100.0,0.0
170,express,soak,300,0,100,100,30,100.0,0.0
180,express,soak,300,0,100,100,30,100.0,0.0
190,express,soak,300,0,100,100,30,100.0,0.0
200,express,soak,300,0,100,100,30,100.0,0.0
210,express,soak,300,0,100,100,30,100.0,0.0
220,express,soak,300,0,100,100,30,100.0,0.0
230,express,soak,300,0,100,100,30,100.0,0.0
240,express,soak,300,0,100,100,30,100.0,0.0
250,express,soak,300,0,100,100,30,100.0,0.0
260,express,soak,300,0,100,100,30,100.0,0.0
270,express,soak,300,0,100,100,30,100.0,0.0
280,express,soak,300,0,100,100,30,100.0,0.0
290,express,soak,300,0,100,100,30,100.0,0.0
300,express,soak,300,0,100,100,30,100.0,0.0
310,express,soak,300,0,100,100,30,100.0,0.0
320,express,soak,300,0,100,100,30,100.0,0.0
330,express,soak,300,0,100,100,30,100.0,0.0
340,express,soak,300,0,100,100,30,100.0,0.0
350,express,soak,300,0,100,100,30,100.0,0.0
360,express,soak,150,0,30,90,20,100.0,0.0
0,express,spike,13,0,10,0,13,0,0
10,express,spike,101,0,50,49,10,100.0,0.0
20,express,spike,101,0,50,50,10,100.0,0.0
30,express,spike,355,0,229,50,106,100.0,0.0
40,express,spike,1933,0,1000,888,200,100.0,0.0
50,express,spike,2072,0,1000,1100,210,100.0,0.0
60,express,spike,1998,0,1000,998,200,100.0,0.0
70,express,spike,2002,0,1000,1000,200,100.0,0.0
80,express,spike,1998,0,1000,999,200,100.0,0.0
90,express,spike,1740,0,821,999,183,100.0,0.0
100,express,spike,100,0,50,66,10,100.0,0.0
110,express,spike,100,0,50,50,10,100.0,0.0
120,express,spike,87,0,40,50,10,100.0,0.0
130,express,spike,0,0,0,1,0,100.0,0.0
0,express,stress,190,0,100,80,20,100.0,0.0
10,express,stress,200,0,100,100,20,100.0,0.0
20,express,stress,200,0,100,100,20,100.0,0.0
30,express,stress,200,0,100,100,20,100.0,0.0
40,express,stress,200,0,100,100,20,100.0,0.0
50,express,stress,207,0,107,100,20,100.0,0.0
60,express,stress,397,0,200,187,40,100.0,0.0
70,express,stress,399,0,200,199,40,100.0,0.0
80,express,stress,401,0,200,201,40,100.0,0.0
90,express,stress,400,0,200,199,40,100.0,0.0
100,express,stress,400,0,200,201,40,100.0,0.0
110,express,stress,413,0,213,199,40,100.0,0.0
120,express,stress,792,0,400,371,80,100.0,0.0
130,express,stress,800,0,400,400,80,100.0,0.0
140,express,stress,800,0,400,402,80,100.0,0.0
150,express,stress,800,0,400,399,80,100.0,0.0
160,express,stress,800,0,400,399,80,100.0,0.0
170,express,stress,824,0,423,403,83,100.0,0.0
180,express,stress,1580,0,800,739,160,100.0,0.0
190,express,stress,1599,0,800,800,160,100.0,0.0
200,express,stress,1593,0,800,795,160,100.0,0.0
210,express,stress,1606,0,800,800,160,100.0,0.0
220,express,stress,1534,0,800,805,160,100.0,0.0
230,express,stress,1624,0,757,800,160,100.0,0.0
240,express,stress,41,0,0,121,41,100.0,0.0
0,express,write-heavy,116,0,68,28,40,100.0,0.0
10,express,write-heavy,400,0,200,200,40,100.0,0.0
20,express,write-heavy,400,0,200,200,40,100.0,0.0
30,express,write-heavy,400,0,200,200,40,100.0,0.0
40,express,write-heavy,400,0,200,200,40,100.0,0.0
50,express,write-heavy,400,0,200,199,40,100.0,0.0
60,express,write-heavy,400,0,200,201,40,100.0,0.0
70,express,write-heavy,400,0,200,200,40,100.0,0.0
80,express,write-heavy,400,0,200,199,40,100.0,0.0
90,express,write-heavy,399,0,200,201,40,100.0,0.0
100,express,write-heavy,401,0,200,200,40,100.0,0.0
110,express,write-heavy,400,0,200,200,40,100.0,0.0
120,express,write-heavy,400,0,200,200,40,100.0,0.0
130,express,write-heavy,400,0,200,199,40,100.0,0.0
140,express,write-heavy,399,0,200,201,40,100.0,0.0
150,express,write-heavy,401,0,200,200,40,100.0,0.0
160,express,write-heavy,400,0,200,200,40,100.0,0.0
170,express,write-heavy,400,0,200,200,40,100.0,0.0
180,express,write-heavy,284,0,132,172,40,100.0,0.0
0,fastapi-async,breakpoint-read,16,0,16,16,2,100.0,0.0
10,fastapi-async,breakpoint-read,30,0,30,30,4,100.0,0.0
20,fastapi-async,breakpoint-read,44,0,44,44,5,100.0,0.0
30,fastapi-async,breakpoint-read,62,0,62,62,7,100.0,0.0
40,fastapi-async,breakpoint-read,87,0,87,86,10,100.0,0.0
50,fastapi-async,breakpoint-read,110,0,110,111,12,100.0,0.0
60,fastapi-async,breakpoint-read,137,0,137,137,14,100.0,0.0
70,fastapi-async,breakpoint-read,161,0,161,161,17,100.0,0.0
80,fastapi-async,breakpoint-read,187,0,187,187,19,100.0,0.0
90,fastapi-async,breakpoint-read,223,0,223,223,23,100.0,0.0
100,fastapi-async,breakpoint-read,272,0,273,272,28,100.0,0.0
110,fastapi-async,breakpoint-read,323,0,323,323,33,100.0,0.0
120,fastapi-async,breakpoint-read,371,0,370,371,38,100.0,0.0
130,fastapi-async,breakpoint-read,421,0,421,421,43,100.0,0.0
140,fastapi-async,breakpoint-read,470,0,470,470,48,100.0,0.0
150,fastapi-async,breakpoint-read,530,0,532,530,53,100.0,0.0
160,fastapi-async,breakpoint-read,615,0,613,615,63,100.0,0.0
170,fastapi-async,breakpoint-read,616,0,699,616,71,100.0,0.0
180,fastapi-async,breakpoint-read,864,0,781,864,80,100.0,0.0
190,fastapi-async,breakpoint-read,835,0,867,835,87,100.0,0.0
200,fastapi-async,breakpoint-read,895,0,949,895,96,100.0,0.0
210,fastapi-async,breakpoint-read,1044,0,1056,1044,107,100.0,0.0
220,fastapi-async,breakpoint-read,1151,0,1224,1151,124,100.0,0.0
230,fastapi-async,breakpoint-read,964,0,1390,964,141,100.0,0.0
240,fastapi-async,breakpoint-read,788,117,1552,788,157,87.07182320441989,12.928176795580109
250,fastapi-async,breakpoint-read,298,1065,1721,298,173,21.86353631694791,78.1364636830521
260,fastapi-async,breakpoint-read,95,1590,1884,95,190,5.637982195845697,94.3620178041543
270,fastapi-async,breakpoint-read,46,1795,1811,46,182,2.498642042368278,97.50135795763171
280,fastapi-async,breakpoint-read,34,1755,1310,34,132,1.9005030743432085,98.0994969256568
290,fastapi-async,breakpoint-read,91,1280,804,91,81,6.637490882567469,93.36250911743254
300,fastapi-async,breakpoint-read,35,704,83,35,61,4.7361299052774015,95.2638700947226
310,fastapi-async,breakpoint-read,56,13,0,56,0,81.15942028985508,18.84057971014493
0,fastapi-async,breakpoint-write,42,0,14,14,7,100.0,0.0
10,fastapi-async,breakpoint-write,79,0,27,26,9,100.0,0.0
20,fastapi-async,breakpoint-write,119,0,40,40,18,100.0,0.0
30,fastapi-async,breakpoint-write,174,0,57,58,23,100.0,0.0
40,fastapi-async,breakpoint-write,246,0,82,82,28,100.0,0.0
50,fastapi-async,breakpoint-write,327,0,109,109,35,100.0,0.0
60,fastapi-async,breakpoint-write,400,0,135,133,40,100.0,0.0
70,fastapi-async,breakpoint-write,468,0,156,155,48,100.0,0.0
80,fastapi-async,breakpoint-write,540,0,179,181,56,100.0,0.0
90,fastapi-async,breakpoint-write,639,0,217,212,65,100.0,0.0
100,fastapi-async,breakpoint-write,738,0,262,241,78,100.0,0.0
110,fastapi-async,breakpoint-write,901,0,314,293,93,100.0,0.0
120,fastapi-async,breakpoint-write,761,0,363,226,93,100.0,0.0
130,fastapi-async,breakpoint-write,436,28,412,101,76,78.29457364341084,21.705426356589147
140,fastapi-async,breakpoint-write,630,155,464,145,95,48.333333333333336,51.66666666666667
150,fastapi-async,breakpoint-write,472,357,516,129,87,26.543209876543212,73.4567901234568
160,fastapi-async,breakpoint-write,324,484,602,66,87,12.0,88.0
170,fastapi-async,breakpoint-write,266,538,683,41,93,7.081174438687392,92.91882556131262
180,fastapi-async,breakpoint-write,147,720,767,17,90,2.3066485753052914,97.69335142469471
190,fastapi-async,breakpoint-write,38,844,849,0,89,0.0,100.0
