relative_sec,framework,test_type,http_200,vusers_failed,vusers_created,vusers_completed,request_rate,success_percent,error_percent
320,fastapi-sync,breakpoint-write,0,47,0,0,0,0.0,100.0
0,fastapi-sync,read-heavy,485,0,486,485,50,100.0,0.0
10,fastapi-sync,read-heavy,500,0,500,499,50,100.0,0.0
20,fastapi-sync,read-heavy,499,0,500,500,50,100.0,0.0
30,fastapi-sync,read-heavy,501,0,500,500,50,100.0,0.0
40,fastapi-sync,read-heavy,500,0,500,501,50,100.0,0.0
50,fastapi-sync,read-heavy,500,0,500,500,50,100.0,0.0
60,fastapi-sync,read-heavy,500,0,501,500,50,100.0,0.0
70,fastapi-sync,read-heavy,500,0,500,500,50,100.0,0.0
80,fastapi-sync,read-heavy,500,0,500,500,50,100.0,0.0
90,fastapi-sync,read-heavy,328,0,340,328,34,100.0,0.0
100,fastapi-sync,read-heavy,246,0,233,246,50,100.0,0.0
120,fastapi-sync,read-heavy,1,367,1267,1,161,0.2717391304347826,99.72826086956522
130,fastapi-sync,read-heavy,0,906,500,0,50,0.0,100.0
140,fastapi-sync,read-heavy,0,500,500,0,50,0.0,100.0
150,fastapi-sync,read-heavy,0,499,500,0,50,0.0,100.0
160,fastapi-sync,read-heavy,0,500,500,0,50,0.0,100.0
170,fastapi-sync,read-heavy,0,501,500,0,50,0.0,100.0
180,fastapi-sync,read-heavy,0,499,13,0,14,0.0,100.0
190,fastapi-sync,read-heavy,0,15,0,0,0,0.0,100.0
0,fastapi-sync,soak,145,4,70,10,20,71.42857142857143,28.57142857142857
10,fastapi-sync,soak,255,28,100,84,30,75.0,25.0
20,fastapi-sync,soak,238,32,100,64,30,66.66666666666666,33.33333333333333
30,fastapi-sync,soak,232,40,100,62,30,60.78431372549019,39.21568627450981
40,fastapi-sync,soak,241,33,100,63,30,65.625,34.375
50,fastapi-sync,soak,234,36,100,65,30,64.35643564356435,35.64356435643564
60,fastapi-sync,soak,230,41,100,62,30,60.19417475728155,39.80582524271845
70,fastapi-sync,soak,237,37,100,62,30,62.62626262626263,37.37373737373738
80,fastapi-sync,soak,224,41,100,62,30,60.19417475728155,39.80582524271845
90,fastapi-sync,soak,241,33,100,58,30,63.73626373626373,36.26373626373626
100,fastapi-sync,soak,254,28,100,74,30,72.54901960784314,27.450980392156865
110,fastapi-sync,soak,231,41,100,60,30,59.4059405940594,40.5940594059406
120,fastapi-sync,soak,242,36,100,68,30,65.38461538461539,34.61538461538461
130,fastapi-sync,soak,250,30,100,66,30,68.75,31.25
140,fastapi-sync,soak,237,35,100,66,30,65.34653465346535,34.65346534653465
150,fastapi-sync,soak,238,35,100,65,30,65.0,35.0
160,fastapi-sync,soak,249,28,100,73,30,72.27722772277228,27.722772277227726
170,fastapi-sync,soak,241,38,100,63,30,62.37623762376238,37.62376237623762
180,fastapi-sync,soak,235,39,100,61,30,61.0,39.0
190,fastapi-sync,soak,228,43,100,59,30,57.84313725490197,42.15686274509804
200,fastapi-sync,soak,256,27,100,70,30,72.16494845360825,27.835051546391753
210,fastapi-sync,soak,247,34,100,61,30,64.21052631578948,35.78947368421053
220,fastapi-sync,soak,241,36,100,67,30,65.0485436893204,34.95145631067961
230,fastapi-sync,soak,242,34,100,66,30,66.0,34.0
240,fastapi-sync,soak,250,34,100,68,30,66.66666666666666,33.33333333333333
250,fastapi-sync,soak,227,42,100,61,30,59.22330097087378,40.77669902912621
260,fastapi-sync,soak,239,37,100,59,30,61.458333333333336,38.54166666666667
270,fastapi-sync,soak,241,34,100,65,30,65.65656565656566,34.34343434343434
280,fastapi-sync,soak,248,33,100,70,30,67.96116504854369,32.038834951456316
290,fastapi-sync,soak,222,54,100,63,30,53.84615384615385,46.15384615384615
300,fastapi-sync,soak,244,26,100,55,30,67.90123456790124,32.098765432098766
310,fastapi-sync,soak,252,27,100,72,30,72.72727272727273,27.27272727272727
320,fastapi-sync,soak,254,28,100,71,30,71.71717171717171,28.28282828282828
330,fastapi-sync,soak,248,32,100,69,30,68.31683168316832,31.683168316831683
340,fastapi-sync,soak,243,36,100,67,30,65.0485436893204,34.95145631067961
350,fastapi-sync,soak,220,45,100,56,30,55.44554455445545,44.554455445544555
360,fastapi-sync,soak,112,20,30,56,20,73.68421052631578,26.31578947368421
0,fastapi-sync,spike,75,0,40,30,10,100.0,0.0
10,fastapi-sync,spike,100,0,50,50,10,100.0,0.0
20,fastapi-sync,spike,100,0,50,50,10,100.0,0.0
30,fastapi-sync,spike,109,0,848,23,109,100.0,0.0
40,fastapi-sync,spike,0,834,1000,0,100,0.0,100.0
50,fastapi-sync,spike,0,1000,1000,0,100,0.0,100.0
60,fastapi-sync,spike,0,1000,1000,0,100,0.0,100.0
70,fastapi-sync,spike,0,1000,1000,0,100,0.0,100.0
80,fastapi-sync,spike,0,1000,1000,0,100,0.0,100.0
90,fastapi-sync,spike,0,1000,202,0,70,0.0,100.0
100,fastapi-sync,spike,0,203,50,0,5,0.0,100.0
110,fastapi-sync,spike,0,50,50,0,5,0.0,100.0
120,fastapi-sync,spike,0,50,10,0,10,0.0,100.0
130,fastapi-sync,spike,0,10,0,0,0,0.0,100.0
0,fastapi-sync,stress,170,0,90,70,20,100.0,0.0
10,fastapi-sync,stress,200,0,100,100,20,100.0,0.0
20,fastapi-sync,stress,200,0,100,100,20,100.0,0.0
30,fastapi-sync,stress,200,0,100,100,20,100.0,0.0
40,fastapi-sync,stress,200,0,100,100,20,100.0,0.0
50,fastapi-sync,stress,200,0,100,100,20,100.0,0.0
60,fastapi-sync,stress,376,0,195,167,40,100.0,0.0
70,fastapi-sync,stress,403,0,200,207,40,100.0,0.0
80,fastapi-sync,stress,400,0,200,200,40,100.0,0.0
90,fastapi-sync,stress,400,0,200,200,40,100.0,0.0
100,fastapi-sync,stress,400,0,200,199,40,100.0,0.0
110,fastapi-sync,stress,400,0,200,201,40,100.0,0.0
120,fastapi-sync,stress,204,0,388,102,57,100.0,0.0
130,fastapi-sync,stress,0,327,400,0,40,0.0,100.0
140,fastapi-sync,stress,0,400,400,0,40,0.0,100.0
150,fastapi-sync,stress,0,400,400,0,40,0.0,100.0
160,fastapi-sync,stress,0,400,400,0,40,0.0,100.0
170,fastapi-sync,stress,0,400,400,0,40,0.0,100.0
180,fastapi-sync,stress,0,399,779,0,80,0.0,100.0
190,fastapi-sync,stress,0,780,800,0,80,0.0,100.0
200,fastapi-sync,stress,0,800,800,0,80,0.0,100.0
210,fastapi-sync,stress,0,800,800,0,80,0.0,100.0
220,fastapi-sync,stress,0,800,800,0,80,0.0,100.0
230,fastapi-sync,stress,0,800,800,0,80,0.0,100.0
240,fastapi-sync,stress,0,797,48,0,48,0.0,100.0
250,fastapi-sync,stress,0,51,0,0,0,0.0,100.0
0,fastapi-sync,write-heavy,229,0,126,79,40,100.0,0.0
10,fastapi-sync,write-heavy,361,0,200,174,40,100.0,0.0
20,fastapi-sync,write-heavy,442,0,200,232,40,100.0,0.0
30,fastapi-sync,write-heavy,400,0,200,200,40,100.0,0.0
40,fastapi-sync,write-heavy,400,0,200,201,40,100.0,0.0
50,fastapi-sync,write-heavy,400,0,200,200,40,100.0,0.0
60,fastapi-sync,write-heavy,400,0,200,200,40,100.0,0.0
70,fastapi-sync,write-heavy,400,0,200,200,40,100.0,0.0
80,fastapi-sync,write-heavy,400,0,200,199,40,100.0,0.0
90,fastapi-sync,write-heavy,399,0,200,200,40,100.0,0.0
100,fastapi-sync,write-heavy,401,0,200,200,40,100.0,0.0
110,fastapi-sync,write-heavy,398,0,200,199,40,100.0,0.0
120,fastapi-sync,write-heavy,402,0,200,202,40,100.0,0.0
130,fastapi-sync,write-heavy,400,0,200,200,40,100.0,0.0
140,fastapi-sync,write-heavy,400,0,200,200,40,100.0,0.0
150,fastapi-sync,write-heavy,400,0,200,200,40,100.0,0.0
160,fastapi-sync,write-heavy,400,0,200,199,40,100.0,0.0
170,fastapi-sync,write-heavy,399,0,200,200,40,100.0,0.0
180,fastapi-sync,write-heavy,169,0,74,115,40,100.0,0.0
