framework,test_type,metric,value
fastapi-async,spike,p95_response_time,9047.6
fastapi-async,spike,p99_response_time,9801.2
fastapi-async,spike,max_response_time,10008
fastapi-async,spike,mean_response_time,2980
fastapi-async,spike,total_requests,8666
fastapi-async,spike,failed_vusers,5037
fastapi-async,spike,total_vusers,6300
fastapi-async,spike,completed_vusers,1263
fastapi-async,spike,requests_per_second,53
fastapi-async,spike,error_percent,79.95238095238095
fastapi-async,spike,success_percent,20.047619047619047
fastapi-async,stress,min_response_time,4
fastapi-async,stress,median_response_time,183.1
fastapi-async,stress,p95_response_time,6838
fastapi-async,stress,p99_response_time,9416.8
fastapi-async,stress,max_response_time,9990
fastapi-async,stress,mean_response_time,1568.8
fastapi-async,stress,total_requests,13822
fastapi-async,stress,failed_vusers,5662
fastapi-async,stress,total_vusers,9000
fastapi-async,stress,completed_vusers,3338
fastapi-async,stress,requests_per_second,55
fastapi-async,stress,error_percent,62.911111111111104
fastapi-async,stress,success_percent,37.08888888888889
fastapi-async,write-heavy,min_response_time,6
fastapi-async,write-heavy,median_response_time,487.9
fastapi-async,write-heavy,p95_response_time,1408.4
fastapi-async,write-heavy,p99_response_time,1755
fastapi-async,write-heavy,max_response_time,2667
fastapi-async,write-heavy,mean_response_time,560.1
fastapi-async,write-heavy,total_requests,7200
fastapi-async,write-heavy,failed_vusers,0
fastapi-async,write-heavy,total_vusers,3600
fastapi-async,write-heavy,completed_vusers,3600
fastapi-async,write-heavy,requests_per_second,40
fastapi-async,write-heavy,error_percent,0.0
fastapi-async,write-heavy,success_percent,100.0
fastapi-sync,breakpoint-read,min_response_time,3
fastapi-sync,breakpoint-read,median_response_time,8.9
fastapi-sync,breakpoint-read,p95_response_time,468.8
fastapi-sync,breakpoint-read,p99_response_time,982.6
fastapi-sync,breakpoint-read,max_response_time,1683
fastapi-sync,breakpoint-read,mean_response_time,66.6
fastapi-sync,breakpoint-read,total_requests,20190
fastapi-sync,breakpoint-read,failed_vusers,15375
fastapi-sync,breakpoint-read,total_vusers,20190
fastapi-sync,breakpoint-read,completed_vusers,4815
fastapi-sync,breakpoint-read,requests_per_second,70
fastapi-sync,breakpoint-read,error_percent,76.15156017830608
fastapi-sync,breakpoint-read,success_percent,23.84843982169391
fastapi-sync,breakpoint-write,min_response_time,5
fastapi-sync,breakpoint-write,median_response_time,12.1
fastapi-sync,breakpoint-write,p95_response_time,982.6
fastapi-sync,breakpoint-write,p99_response_time,1495.5
fastapi-sync,breakpoint-write,max_response_time,2561
fastapi-sync,breakpoint-write,mean_response_time,177.9
fastapi-sync,breakpoint-write,total_requests,22301
fastapi-sync,breakpoint-write,failed_vusers,19170
fastapi-sync,breakpoint-write,total_vusers,20190
fastapi-sync,breakpoint-write,completed_vusers,1020
fastapi-sync,breakpoint-write,requests_per_second,77
fastapi-sync,breakpoint-write,error_percent,94.94799405646359
fastapi-sync,breakpoint-write,success_percent,5.052005943536404
fastapi-sync,read-heavy,min_response_time,4
fastapi-sync,read-heavy,median_response_time,7.9
fastapi-sync,read-heavy,p95_response_time,273.2
fastapi-sync,read-heavy,p99_response_time,487.9
fastapi-sync,read-heavy,max_response_time,17319
fastapi-sync,read-heavy,mean_response_time,41.2
fastapi-sync,read-heavy,total_requests,8840
fastapi-sync,read-heavy,failed_vusers,3787
fastapi-sync,read-heavy,total_vusers,8840
fastapi-sync,read-heavy,completed_vusers,5060
fastapi-sync,read-heavy,requests_per_second,25
fastapi-sync,read-heavy,error_percent,42.805470781055725
fastapi-sync,read-heavy,success_percent,57.19452921894428
fastapi-sync,soak,min_response_time,3
fastapi-sync,soak,median_response_time,8.9
fastapi-sync,soak,p95_response_time,15
fastapi-sync,soak,p99_response_time,53
fastapi-sync,soak,max_response_time,290
fastapi-sync,soak,mean_response_time,10.5
fastapi-sync,soak,total_requests,9925
fastapi-sync,soak,failed_vusers,1257
fastapi-sync,soak,total_vusers,3600
fastapi-sync,soak,completed_vusers,2343
fastapi-sync,soak,requests_per_second,30
fastapi-sync,soak,error_percent,34.91666666666667
fastapi-sync,soak,success_percent,65.08333333333334
fastapi-sync,spike,min_response_time,3
fastapi-sync,spike,median_response_time,7.9
fastapi-sync,spike,p95_response_time,550.1
fastapi-sync,spike,p99_response_time,788.5
fastapi-sync,spike,max_response_time,957
fastapi-sync,spike,mean_response_time,77.4
fastapi-sync,spike,total_requests,6531
fastapi-sync,spike,failed_vusers,6147
fastapi-sync,spike,total_vusers,6300
fastapi-sync,spike,completed_vusers,153
fastapi-sync,spike,requests_per_second,37
fastapi-sync,spike,error_percent,97.57142857142857
fastapi-sync,spike,success_percent,2.4285714285714284
fastapi-sync,stress,min_response_time,5
fastapi-sync,stress,median_response_time,10.9
fastapi-sync,stress,p95_response_time,133
fastapi-sync,stress,p99_response_time,1249.1
fastapi-sync,stress,max_response_time,2437
fastapi-sync,stress,mean_response_time,50
fastapi-sync,stress,total_requests,10907
fastapi-sync,stress,failed_vusers,7154
fastapi-sync,stress,total_vusers,9000
fastapi-sync,stress,completed_vusers,1846
fastapi-sync,stress,requests_per_second,44
fastapi-sync,stress,error_percent,79.48888888888888
fastapi-sync,stress,success_percent,20.51111111111111
fastapi-sync,write-heavy,min_response_time,7
fastapi-sync,write-heavy,median_response_time,12.1
fastapi-sync,write-heavy,p95_response_time,432.7
fastapi-sync,write-heavy,p99_response_time,963.1
fastapi-sync,write-heavy,max_response_time,1831
fastapi-sync,write-heavy,mean_response_time,59.9
fastapi-sync,write-heavy,total_requests,7200
fastapi-sync,write-heavy,failed_vusers,0
fastapi-sync,write-heavy,total_vusers,3600
fastapi-sync,write-heavy,completed_vusers,3600
fastapi-sync,write-heavy,requests_per_second,40
fastapi-sync,write-heavy,error_percent,0.0
fastapi-sync,write-heavy,success_percent,100.0
